paradigm,metric,removed_band,removed_good_lemma,removed_bad_lemma,baseline_difference,after_difference,sign_change
passive_2,mean_margin,head,crown,object,1.7481153560315628,1.6561304656072746,0
passive_2,mean_margin,head,defend,participate,1.7481153560315628,1.7435885325475828,0
passive_2,mean_margin,head,earn,occur,1.7481153560315628,1.6290665117307794,0
passive_2,mean_margin,head,exhibit,proceed,1.7481153560315628,1.779649795631994,0
passive_2,mean_margin,head,hate,listen,1.7481153560315628,1.8953120318456786,0
passive_2,mean_margin,head,host,exist,1.7481153560315628,1.7966092148824826,0
passive_2,mean_margin,head,impose,emerge,1.7481153560315628,1.6333368960424552,0
passive_2,mean_margin,head,include,happen,1.7481153560315628,1.8874688139959472,0
passive_2,mean_margin,head,insure,vanish,1.7481153560315628,1.9183919898077146,0
passive_2,mean_margin,head,introduce,arrive,1.7481153560315628,1.9265806499525207,0
passive_2,mean_margin,head,lease,apologize,1.7481153560315628,1.6311282626196038,0
passive_2,mean_margin,head,lend,opt,1.7481153560315628,1.7878529826208247,0
passive_2,mean_margin,head,load,respond,1.7481153560315628,1.6315189162298331,0
passive_2,mean_margin,head,measure,laugh,1.7481153560315628,1.5446231547399654,0
passive_2,mean_margin,head,rate,result,1.7481153560315628,1.8152880564733636,0
passive_2,mean_margin,head,rob,belong,1.7481153560315628,1.509280151466955,0
passive_2,mean_margin,head,score,remain,1.7481153560315628,1.7818137541814938,0
passive_2,mean_margin,head,send,die,1.7481153560315628,1.721679667572607,0
passive_2,mean_margin,head,sum,compete,1.7481153560315628,1.9857286444708002,0
passive_2,mean_margin,head,target,lie,1.7481153560315628,1.6887997141882076,0
passive_2,mean_margin,head,thank,matter,1.7481153560315628,1.8057738200231688,0
passive_2,mean_margin,head,upgrade,complain,1.7481153560315628,1.6558046046301023,0
passive_2,mean_margin,xtail,blab,loll,1.7481153560315628,1.7439001775442184,0
passive_2,mean_margin,xtail,blaspheme,seethe,1.7481153560315628,1.7609252579610448,0
passive_2,mean_margin,xtail,clout,grouse,1.7481153560315628,1.7171999357489147,0
passive_2,mean_margin,xtail,crate,lumber,1.7481153560315628,1.689025740994528,0
passive_2,mean_margin,xtail,daub,resound,1.7481153560315628,1.7164488712579171,0
passive_2,mean_margin,xtail,debug,tingle,1.7481153560315628,1.7785473246774046,0
passive_2,mean_margin,xtail,disabuse,sidle,1.7481153560315628,1.8012084482922388,0
passive_2,mean_margin,xtail,disgorge,exult,1.7481153560315628,1.7605798921004219,0
passive_2,mean_margin,xtail,disquiet,goggle,1.7481153560315628,1.771249371865924,0
passive_2,mean_margin,xtail,doff,salivate,1.7481153560315628,1.8236872489322238,0
passive_2,mean_margin,xtail,edify,toddle,1.7481153560315628,1.787039950718122,0
passive_2,mean_margin,xtail,espy,scram,1.7481153560315628,1.5839177771490904,0
passive_2,mean_margin,xtail,extirpate,vegetate,1.7481153560315628,1.6883284549837514,0
passive_2,mean_margin,xtail,filch,smolder,1.7481153560315628,1.7398155229166603,0
passive_2,mean_margin,xtail,garland,banter,1.7481153560315628,1.8229171881756763,0
