control,seed,regime,subtask,clean_source_zipf_regime,clean_inventory_source,n,mean_corrupt_metric,mean_patched_metric,mean_clean_metric,mean_effect,effect_ci95_lo,effect_ci95_hi,mean_normalized_effect,patched_success_rate
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,low,causative,tail,freqblimp_curated,276,-1.2804574353107507,-1.215240037959555,4.117300735003706,0.06521739735119585,0.027315644909152025,0.10640966283143873,0.024305694068041762,0.2971014492753623
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,low,causative,tail,supplemental_v2_bad_verbs,159,-4.305817625057772,-4.569772018576568,0.9488993815655978,-0.26395439351879574,-0.32724056378850397,-0.2002751572327044,-0.0314793895062887,0.050314465408805034
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,low,causative,xtail,freqblimp_curated,20,-1.790624988079071,-1.7375000238418579,3.3937500178813935,0.053124964237213135,0.024999940395355226,0.08437498807907104,0.004284331737404986,0.1
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,low,causative,xtail,supplemental_v2_bad_verbs,43,-4.2630814036657645,-4.542151151701462,1.2238372093023255,-0.27906974803569706,-0.4200581284456475,-0.14462208470632865,-0.041333417962290044,0.046511627906976744
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,low,inchoative,low_gap,freqblimp_curated,20,-4.320312488079071,-4.395312488079071,-0.928125,-0.075,-0.265625,0.1078125,-0.02471558101094066,0.0
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,low,inchoative,low_gap,supplemental_v2_bad_verbs,25,1.1400000047683716,1.29,4.887499980926513,0.1499999952316284,0.06499996662139892,0.24000002384185792,0.04847463395728627,0.8
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,low,inchoative,tail,freqblimp_curated,240,-4.312109364072482,-4.356640626490116,-1.3276041701436043,-0.044531262417634325,-0.0878906399011612,-0.001692719260851542,0.0023886950866241607,0.004166666666666667
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,low,inchoative,tail,supplemental_v2_bad_verbs,139,1.3408273432752211,1.4811151036255652,4.6229766109864485,0.140287760350344,0.10161870160548807,0.17850719252936273,0.04066106647222053,0.7913669064748201
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,low,inchoative,xtail,freqblimp_curated,20,-4.471874940395355,-4.624999988079071,-1.096875,-0.15312504768371582,-0.32031252384185793,0.03593746423721313,-0.026763123980689817,0.0
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,low,inchoative,xtail,supplemental_v2_bad_verbs,116,1.2435344827586208,1.35129311064194,3.8445581680741805,0.10775862788331919,0.07058190785605332,0.1497844992012813,0.054706121809463534,0.7844827586206896
none@l20,17,head,causative,head,freqblimp_curated,196,-2.6033163192320843,4.918506861341243,2.6033163192320843,7.521823186047223,6.857302294701946,8.183294812027288,1.7473374488972826,0.9591836734693877
none@l20,17,head,inchoative,head,freqblimp_curated,67,-4.60214552238806,2.770289154195074,-0.7831156360569285,7.372434697934051,6.815476175338503,7.949573856411559,2.2574579303494793,0.835820895522388
none@l20,17,head,inchoative,head,supplemental_v2_bad_verbs,49,1.9630101554247799,10.081313765778834,5.400510204081633,8.118303571428571,7.479910714285714,8.776785714285714,2.895954762126699,1.0
none@l20,17,low,causative,low_gap,freqblimp_curated,20,-0.2125,7.83828125,4.878124988079071,8.05078125,6.8921875,9.334375,2.365530187718659,1.0
none@l20,17,low,causative,low_gap,supplemental_v2_bad_verbs,42,-4.607886882055373,1.8363095323244731,-1.1994047846112932,6.444196439924694,5.602678577105205,7.329613112267994,2.2172455122744075,0.9761904761904762
none@l20,17,low,causative,tail,freqblimp_curated,276,-1.2804574353107507,8.32331826635029,4.117300735003706,9.603775695614193,9.088711435222283,10.058830881290298,2.0425433862164004,0.967391304347826
none@l20,17,low,causative,tail,supplemental_v2_bad_verbs,159,-4.305817625057772,2.836477979923944,0.9488993815655978,7.142295600483252,6.593160381856954,7.636595922446101,1.3017352782521943,0.89937106918239
