lemma,delta_p_object,behavior_status,mean_p_object_t_plus,mean_p_object_t_minus,delta_coord_calibrated,projection_status,mean_coord_calibrated_t_plus,mean_coord_calibrated_t_minus,delta_coord_raw,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
gleeshiv,0.5652878880500793,moves,0.868763267993927,0.30347537994384766,2.47198748588562,aligns,3.777703046798706,1.305715560913086,-2.47198748588562,3,"['Ġgle', 'esh', 'iv']",paper,inanimate
gleeshle,0.8368085622787476,moves,0.9977421164512634,0.16093355417251587,16.695685625076294,aligns,14.717428207397461,-1.978257417678833,-16.695685625076294,3,"['Ġgle', 'esh', 'le']",paper,inanimate
gloocket,0.8513886630535126,moves,0.9927762746810913,0.14138761162757874,7.927937269210815,aligns,11.109635353088379,3.1816980838775635,-7.927937269210815,2,"['Ġglo', 'ocket']",student,animate
gufen,0.9076956659555435,moves,0.9747589230537415,0.06706325709819794,12.722825527191162,aligns,10.170419692993164,-2.552405834197998,-12.722825527191162,2,"['Ġgu', 'fen']",shirt,inanimate
kekom,0.9562000781297684,moves,0.9722065925598145,0.01600651443004608,9.41667890548706,aligns,4.077467918395996,-5.3392109870910645,-9.41667890548706,2,"['Ġke', 'kom']",driver,animate
kloolen,0.8624333962798119,moves,0.984896183013916,0.12246278673410416,7.066016674041748,aligns,9.413615226745605,2.3475985527038574,-7.066016674041748,3,"['Ġkl', 'ool', 'en']",shirt,inanimate
kloolle,0.9268759675323963,moves,0.9732469916343689,0.04637102410197258,10.118834018707275,aligns,7.567507743835449,-2.551326274871826,-10.118834018707275,3,"['Ġkl', 'ool', 'le']",shirt,inanimate
kloolup,0.9242858290672302,moves,0.9894574880599976,0.06517165899276733,11.191879749298096,aligns,11.818449974060059,0.6265702247619629,-11.191879749298096,3,"['Ġkl', 'ool', 'up']",student,animate
kloozen,0.9106157869100571,moves,0.9962559938430786,0.08564020693302155,14.400538206100464,aligns,16.555570602416992,2.1550323963165283,-14.400538206100464,3,"['Ġkl', 'oo', 'zen']",box,inanimate
mexiv,0.9292444810271263,moves,0.9727089405059814,0.04346445947885513,8.099730610847473,aligns,6.961472511291504,-1.1382580995559692,-8.099730610847473,2,"['Ġme', 'xiv']",driver,animate
mulom,0.8327945023775101,moves,0.9752556681632996,0.1424611657857895,7.029757976531982,aligns,8.212697982788086,1.1829400062561035,-7.029757976531982,2,"['Ġmul', 'om']",chef,animate
navip,0.8032476902008057,moves,0.9520725011825562,0.1488248109817505,7.229535222053528,aligns,6.215131759643555,-1.0144034624099731,-7.229535222053528,2,"['Ġnav', 'ip']",box,inanimate
negiv,0.7634806483983994,moves,0.8934482336044312,0.1299675852060318,3.7306313514709473,aligns,5.612521648406982,1.8818902969360352,-3.7306313514709473,2,"['Ġneg', 'iv']",paper,inanimate
nexev,0.8224988356232643,moves,0.9446350932121277,0.12213625758886337,5.25081467628479,aligns,8.159318923950195,2.9085042476654053,-5.25081467628479,2,"['Ġnex', 'ev']",student,animate
nexip,0.695957601070404,moves,0.9917124509811401,0.2957548499107361,5.633616924285889,aligns,8.61528205871582,2.9816651344299316,-5.633616924285889,2,"['Ġnex', 'ip']",driver,animate
noviv,0.6923951581120491,moves,0.759105920791626,0.06671076267957687,4.470533609390259,aligns,3.038039207458496,-1.4324944019317627,-4.470533609390259,2,"['Ġnov', 'iv']",paper,inanimate
nudup,0.9443230479955673,moves,0.9949199557304382,0.05059690773487091,9.231900930404663,aligns,12.82437515258789,3.5924742221832275,-9.231900930404663,2,"['Ġnud', 'up']",shirt,inanimate
pefet,0.8546080589294434,moves,0.9816675186157227,0.1270594596862793,6.158802032470703,aligns,7.510067939758301,1.3512659072875977,-6.158802032470703,2,"['Ġpe', 'fet']",shirt,inanimate
